team,season,Player,Age,Pos,G,MP,PER,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
ATL,2016,Paul Millsap,30,PF,81,2647,21.3,4.1,6,10.1,1.5,2.7,4.2,4.1
ATL,2016,Al Horford,29,C,82,2631,19.4,4.9,4.5,9.4,2.2,1.6,3.8,3.9
ATL,2016,Kyle Korver,34,SG,80,2401,9.7,1.2,2.9,4.1,-1.5,0.6,-1,0.6
ATL,2016,Jeff Teague,27,PG,79,2255,17.9,2.8,3,5.9,1.5,-0.2,1.3,1.9
ATL,2016,Kent Bazemore,26,SF,75,2083,13.4,0.3,3.8,4.1,-1.2,1.5,0.3,1.2
ATL,2016,Thabo Sefolosha,31,SF,75,1758,12.4,1.3,3.2,4.5,-1.5,2.3,0.8,1.3
ATL,2016,Dennis Schröder,22,PG,80,1621,15.5,-0.2,2.3,2.2,-0.3,-0.4,-0.8,0.5
ATL,2016,Mike Scott,27,PF,75,1146,14,1.7,1.5,3.2,-0.1,0,-0.1,0.6
ATL,2016,Tim Hardaway Jr.,23,SG,51,864,11.7,0.9,1,1.9,-1.1,0.2,-0.9,0.2
ATL,2016,Tiago Splitter,31,C,36,579,13.7,0.9,0.9,1.7,-2.2,0.5,-1.7,0
ATL,2016,Mike Muscala,24,C,60,565,13.6,0.7,0.9,1.6,-2.1,1.2,-0.9,0.2
ATL,2016,Lamar Patterson,24,SG,35,395,5.1,-0.3,0.5,0.2,-5.4,0.3,-5.1,-0.3
ATL,2016,Kris Humphries,30,PF,21,295,14.9,0.4,0.5,0.9,-2.2,0.8,-1.4,0
ATL,2016,Justin Holiday,26,SG,26,263,4.7,-0.5,0.4,-0.1,-6.1,0.4,-5.6,-0.2
ATL,2016,Shelvin Mack,25,PG,24,179,15.4,-0.1,0.3,0.2,-1.9,-1,-2.9,0
ATL,2016,Kirk Hinrich,35,PG,11,76,6.2,-0.1,0.1,0,-4.3,1.8,-2.5,0
ATL,2016,Edy Tavares,23,C,11,73,14.4,0,0.1,0.2,-2.9,1.1,-1.8,0
BOS,2016,Isaiah Thomas,26,PG,82,2644,21.5,7.2,2.5,9.7,4.9,-0.6,4.3,4.2
BOS,2016,Avery Bradley,25,SG,76,2536,13.2,2,2.8,4.8,-0.4,0.3,-0.1,1.2
BOS,2016,Jae Crowder,25,SF,73,2308,15.8,3.8,3.5,7.3,0.8,1.4,2.2,2.5
BOS,2016,Evan Turner,27,SG,81,2271,13.6,1,3,4,-0.9,0.9,0,1.1
BOS,2016,Jared Sullinger,23,PF,81,1915,16.7,1.3,3.6,4.8,0,0.7,0.6,1.3
BOS,2016,Amir Johnson,28,PF,79,1800,16,3,2.9,5.9,-0.4,1.6,1.2,1.4
BOS,2016,Marcus Smart,21,PG,61,1667,11.3,0.5,2.4,2.9,-2.2,1.2,-1,0.4
BOS,2016,Kelly Olynyk,24,C,69,1395,16.3,2.1,2,4.1,1.2,0.8,1.9,1.4
BOS,2016,Jonas Jerebko,28,PF,78,1176,10.3,0.9,1.5,2.4,-2,0,-2,0
BOS,2016,Tyler Zeller,26,C,60,710,15.4,0.8,0.9,1.7,-2.1,-1.2,-3.3,-0.2
BOS,2016,David Lee,32,PF,30,470,15.5,0.2,0.7,0.9,-0.7,0.7,0,0.2
BOS,2016,R.J. Hunter,22,SG,36,315,7.7,-0.1,0.4,0.3,-3.1,1,-2.1,0
BOS,2016,Terry Rozier,21,PG,39,311,5,-0.6,0.3,-0.3,-4.7,-1.4,-6.1,-0.3
BOS,2016,James Young,20,SG,29,199,3.6,-0.2,0.2,0.1,-5.3,0.8,-4.5,-0.1
BOS,2016,Jordan Mickey,21,PF,16,57,15.3,0,0.1,0.1,-2.6,1.1,-1.5,0
BOS,2016,Coty Clarke,23,SF,3,6,23.9,0,0,0,15.5,1,16.5,0
BRK,2016,Brook Lopez,27,C,73,2457,21.7,4.5,1.7,6.2,1.9,-0.5,1.3,2.1
BRK,2016,Thaddeus Young,27,PF,73,2407,17.5,1.9,2.2,4.1,0.1,-0.1,0,1.2
BRK,2016,Bojan Bogdanović,26,SF,79,2115,10.7,0.9,0,0.9,-1,-2.6,-3.5,-0.8
BRK,2016,Joe Johnson,34,SF,57,1934,10.7,0.6,0.2,0.7,-1.2,-1.4,-2.6,-0.3
BRK,2016,Shane Larkin,23,PG,78,1751,13.3,0.5,1,1.4,-1.6,-0.4,-2,0
BRK,2016,Wayne Ellington,28,SG,76,1615,10.1,0.5,0.3,0.8,-1.5,-1.3,-2.8,-0.3
BRK,2016,Donald Sloan,28,PG,61,1318,13.9,1.7,0.3,2,-0.3,-1.4,-1.7,0.1
BRK,2016,Jarrett Jack,32,PG,32,1027,14.5,0.5,0.4,0.9,0,-0.7,-0.7,0.3
BRK,2016,Markel Brown,24,SG,62,982,11.3,0.2,0.4,0.6,-2.1,-0.8,-3,-0.3
BRK,2016,Thomas Robinson,24,PF,71,917,14.5,-0.5,1.1,0.6,-2.7,-1.1,-3.8,-0.4
BRK,2016,Andrea Bargnani,30,C,46,634,11.8,0.1,0,0.2,-2.6,-2.6,-5.1,-0.5
BRK,2016,Rondae Hollis-Jefferson,21,SF,29,615,14.2,0.5,0.7,1.2,-1.4,2.2,0.8,0.4
BRK,2016,Sean Kilpatrick,26,SG,23,534,16.7,0.9,0,0.9,1.5,-3.4,-1.9,0
BRK,2016,Willie Reed,25,C,39,426,19.2,0.9,0.3,1.2,0.4,-0.9,-0.5,0.2
BRK,2016,Sergey Karasev,22,SF,40,399,8.5,0.2,0.1,0.3,-2.3,-1.4,-3.8,-0.2
BRK,2016,Chris McCullough,20,PF,24,362,12.2,-0.1,0.4,0.3,-2.7,0.4,-2.4,0
BRK,2016,Henry Sims,25,C,14,263,13.9,0.2,0.3,0.4,-3.5,-0.8,-4.3,-0.2
CHO,2016,Kemba Walker,25,PG,81,2885,20.8,6.3,3.6,9.9,3.5,0.5,4,4.3
CHO,2016,Nicolas Batum,27,SF,70,2448,15.6,2,2.9,5,1.1,0.1,1.2,2
CHO,2016,Marvin Williams,29,PF,81,2338,16.9,4.7,3.2,7.8,2.1,0.5,2.7,2.7
CHO,2016,Jeremy Lin,27,SG,78,2048,13.8,1.3,2.3,3.5,-1,0,-0.9,0.5
CHO,2016,Cody Zeller,23,C,73,1774,16.1,3.6,2.7,6.3,-1.1,1,-0.1,0.9
CHO,2016,Frank Kaminsky,22,C,81,1708,12.5,1.2,2.1,3.3,-1,0.2,-0.8,0.5
CHO,2016,Jeremy Lamb,23,SG,66,1227,15.9,1,1.7,2.7,0.1,0.7,0.8,0.9
