season,team_tier,pos,player,age,tm,pts_won,pts_max,share,g,mp,pts,trb,ast,stl,blk,fg_percent,x3p_percent,ft_percent,ws,ws_48,dws,dbpm,d_rtg,defense_team
2016,1st,F,Kawhi Leonard,24,SAS,260,260,1,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,5.5,3,96,1st Team
2016,1st,F,Draymond Green,25,GSW,251,260,0.965,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,5.1,2.9,100,1st Team
2016,1st,G,Avery Bradley,25,BOS,149,260,0.573,76,33.4,15.2,2.9,2.1,1.5,0.3,0.447,0.361,0.78,4.8,0.09,2.8,0.3,106,1st Team
2016,1st,G,Chris Paul,30,LAC,148,260,0.569,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,3.5,2,103,1st Team
2016,1st,C,DeAndre Jordan,27,LAC,137,260,0.527,77,33.7,12.7,13.8,1.2,0.7,2.3,0.703,0,0.43,11.5,0.213,5.5,1.3,98,1st Team
2016,2nd,C,Hassan Whiteside,26,MIA,126,260,0.485,73,29.1,14.2,11.8,0.4,0.6,3.7,0.606,NA,0.65,10.3,0.233,5.3,2.4,95,2nd Team
2016,2nd,G,Tony Allen,34,MEM,121,260,0.465,64,25.3,8.4,4.6,1.1,1.7,0.3,0.458,0.357,0.652,2.4,0.072,1.9,1.2,105,2nd Team
2016,2nd,F,Paul Millsap,30,ATL,97,260,0.373,81,32.7,17.1,9,3.3,1.8,1.7,0.47,0.319,0.757,10.1,0.183,6,2.7,96,2nd Team
2016,2nd,G,Jimmy Butler,26,CHI,62,260,0.238,67,36.9,20.9,5.3,4.8,1.6,0.6,0.454,0.312,0.832,9.1,0.177,2.7,1.2,106,2nd Team
2016,2nd,F,Paul George,25,IND,48,260,0.185,81,34.8,23.1,7,4.1,1.9,0.4,0.418,0.371,0.86,9.2,0.157,4.8,1.2,101,2nd Team
2016,ORV,C,Rudy Gobert,23,UTA,64,260,0.246,61,31.7,9.1,11,1.5,0.7,2.2,0.559,NA,0.569,6.4,0.16,3.8,2.2,99,Other Votes
2016,ORV,G,Klay Thompson,25,GSW,49,260,0.188,80,33.3,22.1,3.8,2.1,0.8,0.6,0.47,0.425,0.873,8,0.144,2.6,-1.6,107,Other Votes
2016,ORV,F,Jae Crowder,25,BOS,47,260,0.181,73,31.6,14.2,5.1,1.8,1.7,0.5,0.443,0.336,0.82,7.3,0.152,3.5,1.4,102,Other Votes
2016,ORV,F,LeBron James,31,CLE,43,260,0.165,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,4,2,103,Other Votes
2016,ORV,G,Kyle Lowry,29,TOR,43,260,0.165,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,3.7,1.1,104,Other Votes
2016,ORV,G,Danny Green,28,SAS,39,260,0.15,79,26.1,7.2,3.8,1.8,1,0.8,0.376,0.332,0.739,4.2,0.099,4.1,2.1,99,Other Votes
2016,ORV,G,Russell Westbrook,27,OKC,35,260,0.135,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,4,1.4,103,Other Votes
2016,ORV,C,Tim Duncan,39,SAS,33,260,0.127,61,25.2,8.6,7.3,2.7,0.8,1.3,0.488,0,0.702,5.2,0.163,3.6,3.1,96,Other Votes
2016,ORV,G,Ricky Rubio,25,MIN,30,260,0.115,76,30.6,10.1,4.3,8.7,2.1,0.1,0.374,0.326,0.847,5.8,0.119,2.2,0.8,107,Other Votes
2016,ORV,G,Kentavious Caldwell-Pope,22,DET,27,260,0.104,76,36.7,14.5,3.7,1.8,1.4,0.2,0.42,0.309,0.811,5.3,0.092,2.7,0.8,107,Other Votes
2016,ORV,F,Anthony Davis,22,NOP,24,260,0.092,61,35.5,24.3,10.3,1.9,1.3,2,0.493,0.324,0.758,7.2,0.16,2.8,0.4,104,Other Votes
2016,ORV,C,Andre Drummond,22,DET,14,260,0.054,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,5.5,0.3,98,Other Votes
2016,ORV,F,Serge Ibaka,26,OKC,14,260,0.054,78,32.1,12.6,6.8,0.8,0.5,1.9,0.479,0.326,0.752,5.5,0.105,3,0,105,Other Votes
2016,ORV,G,Stephen Curry,27,GSW,13,260,0.05,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,4.1,1.6,103,Other Votes
2016,ORV,F,Andre Iguodala,32,GSW,13,260,0.05,65,26.6,7,4,3.4,1.1,0.3,0.478,0.351,0.614,4.4,0.122,2.1,1.3,105,Other Votes
2016,ORV,G,Patrick Beverley,27,HOU,11,260,0.042,71,28.7,9.9,3.5,3.4,1.3,0.4,0.434,0.4,0.682,4.4,0.103,1.3,0.1,110,Other Votes
2016,ORV,C,Al Horford,29,ATL,7,260,0.027,82,32.1,15.2,7.3,3.2,0.8,1.5,0.505,0.344,0.798,9.4,0.172,4.5,1.6,101,Other Votes
2016,ORV,G,Marcus Smart,21,BOS,7,260,0.027,61,27.3,9.1,4.2,3,1.5,0.3,0.348,0.253,0.777,2.9,0.083,2.4,1.2,103,Other Votes
2016,ORV,G,John Wall,25,WAS,6,260,0.023,77,36.2,19.9,4.9,10.2,1.9,0.8,0.424,0.351,0.791,5.7,0.098,3.5,0.4,104,Other Votes
2016,ORV,F,Giannis Antetokounmpo,21,MIL,3,260,0.012,80,35.3,16.9,7.7,4.3,1.2,1.4,0.506,0.257,0.724,7.1,0.121,2.9,0.7,106,Other Votes
2016,ORV,F,Trevor Ariza,30,HOU,3,260,0.012,81,35.3,12.7,4.5,2.3,2,0.3,0.416,0.371,0.783,5.4,0.09,2.3,0.3,108,Other Votes
2016,ORV,G,Kent Bazemore,26,ATL,3,260,0.012,75,27.8,11.6,5.1,2.3,1.3,0.5,0.441,0.357,0.815,4.1,0.094,3.8,1.5,100,Other Votes
2016,ORV,C,Andrew Bogut,31,GSW,3,260,0.012,70,20.7,5.4,7,2.3,0.5,1.6,0.627,1,0.48,5.4,0.18,2.9,3.2,99,Other Votes
2016,ORV,C,DeMarcus Cousins,25,SAC,3,260,0.012,65,34.6,26.9,11.5,3.3,1.6,1.4,0.451,0.333,0.718,5.7,0.122,3.3,0.6,103,Other Votes
2016,ORV,F,Nicolas Batum,27,CHO,2,260,0.008,70,35,14.9,6.1,5.8,0.9,0.6,0.426,0.348,0.849,5,0.097,2.9,0.1,105,Other Votes
2016,ORV,G,Victor Oladipo,23,ORL,2,260,0.008,72,33,16,4.8,3.9,1.6,0.8,0.438,0.348,0.83,4.9,0.099,2.7,0.9,106,Other Votes
2016,ORV,F,LaMarcus Aldridge,30,SAS,1,260,0.004,74,30.6,18,8.5,1.5,0.5,1.1,0.513,0,0.858,10.1,0.215,4.5,0.3,99,Other Votes
2016,ORV,F,Harrison Barnes,23,GSW,1,260,0.004,66,30.9,11.7,4.9,1.8,0.6,0.2,0.466,0.383,0.761,4.9,0.116,1.9,-1.1,107,Other Votes
2016,ORV,C,Bismack Biyombo,23,TOR,1,260,0.004,82,22,5.5,8,0.4,0.2,1.6,0.542,0,0.628,5.9,0.156,3.1,1.1,101,Other Votes
2016,ORV,G,Mike Conley,28,MEM,1,260,0.004,56,31.4,15.3,2.9,6.1,1.2,0.3,0.422,0.363,0.834,5.3,0.144,1.1,-0.5,110,Other Votes
2016,ORV,F,Kevin Durant,27,OKC,1,260,0.004,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,3.5,1.6,104,Other Votes
2016,ORV,F,Derrick Favors,24,UTA,1,260,0.004,62,32,16.4,8.1,1.5,1.2,1.5,0.515,0,0.709,7.1,0.173,3.4,1.2,101,Other Votes
2016,ORV,G,George Hill,29,IND,1,260,0.004,74,34.1,12.1,4,3.5,1.1,0.2,0.441,0.408,0.76,6.2,0.118,2.8,0.7,106,Other Votes
2016,ORV,G,Wesley Matthews,29,DAL,1,260,0.004,78,33.9,12.5,3.1,1.9,1,0.2,0.388,0.36,0.863,3.7,0.067,1.8,-0.1,109,Other Votes
2016,ORV,F,Luc Mbah a Moute,29,LAC,1,260,0.004,75,17,3.1,2.3,0.4,0.6,0.3,0.454,0.325,0.526,1.6,0.059,1.3,0.6,106,Other Votes
2016,ORV,F,Kristaps Porziņģis,20,NYK,1,260,0.004,72,28.4,14.3,7.3,1.3,0.7,1.9,0.421,0.333,0.838,4.4,0.102,2.9,0.3,103,Other Votes
2016,ORV,F,Andre Roberson,24,OKC,1,260,0.004,70,22.2,4.8,3.6,0.7,0.8,0.6,0.496,0.311,0.611,3.4,0.105,1.6,1.3,106,Other Votes
2016,ORV,F,Mike Scott,27,ATL,1,260,0.004,75,15.3,6.2,2.7,1,0.3,0.2,0.468,0.392,0.794,3.2,0.132,1.5,0,104,Other Votes
2016,ORV,G,Dwyane Wade,34,MIA,1,260,0.004,74,30.5,19,4.1,4.6,1.1,0.6,0.456,0.159,0.793,4.9,0.105,2.6,-0.4,106,Other Votes
2017,1st,F,Draymond Green,26,GSW,198,200,0.99,76,32.5,10.2,7.9,7,2,1.4,0.418,0.308,0.709,8.2,0.16,5.4,3.9,99,1st Team
2017,1st,C,Rudy Gobert,24,UTA,196,200,0.98,81,33.9,14,12.8,1.2,0.6,2.6,0.661,0,0.653,14.3,0.25,6,2.2,99,1st Team
2017,1st,F,Kawhi Leonard,25,SAS,192,200,0.96,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,4.7,2.2,102,1st Team
2017,1st,G,Chris Paul,31,LAC,140,200,0.7,61,31.5,18.1,5,9.2,2,0.1,0.476,0.411,0.892,10.6,0.264,2.6,2.5,106,1st Team
2017,1st,G,Patrick Beverley,28,HOU,110,200,0.55,67,30.7,9.5,5.9,4.2,1.5,0.4,0.42,0.382,0.768,5.3,0.123,2.4,1.4,108,1st Team
2017,2nd,G,Tony Allen,35,MEM,80,200,0.4,71,27,9.1,5.5,1.4,1.6,0.4,0.461,0.278,0.615,3.1,0.077,2.9,1.1,105,2nd Team
2017,2nd,G,Danny Green,29,SAS,68,200,0.34,68,26.6,7.3,3.3,1.8,1,0.8,0.392,0.379,0.844,3.4,0.09,3,1.9,104,2nd Team
2017,2nd,C,Anthony Davis,23,NOP,58,200,0.29,75,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,5.1,1.4,102,2nd Team
2017,2nd,F,Andre Roberson,25,OKC,53,200,0.265,79,30.1,6.6,5.1,1,1.2,1,0.464,0.245,0.423,4.2,0.085,3.1,1.4,106,2nd Team
2017,2nd,F,Giannis Antetokounmpo,22,MIL,35,200,0.175,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,4.5,2.4,104,2nd Team
2017,ORV,G,Avery Bradley,26,BOS,46,200,0.23,55,33.4,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,3.1,0.081,2,-0.5,108,Other Votes
2017,ORV,G,Klay Thompson,26,GSW,45,200,0.225,78,34,22.3,3.7,2.1,0.8,0.5,0.468,0.414,0.853,7.1,0.129,2.9,-1.6,108,Other Votes
2017,ORV,G,John Wall,26,WAS,38,200,0.19,78,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,3,0.1,108,Other Votes
2017,ORV,C,DeAndre Jordan,28,LAC,35,200,0.175,81,31.7,12.7,13.8,1.2,0.6,1.7,0.714,0,0.482,11.8,0.221,4.6,0.9,102,Other Votes
2017,ORV,F,Paul Millsap,31,ATL,35,200,0.175,69,34,18.1,7.7,3.7,1.3,0.9,0.442,0.311,0.768,6.4,0.132,3.8,1.3,104,Other Votes
2017,ORV,C,Hassan Whiteside,27,MIA,25,200,0.125,77,32.6,17,14.1,0.7,0.7,2.1,0.557,NA,0.628,9.5,0.181,5.3,0.5,100,Other Votes
2017,ORV,G,Marcus Smart,22,BOS,21,200,0.105,79,30.4,10.6,3.9,4.6,1.6,0.4,0.359,0.283,0.812,3.2,0.064,2.7,0.6,108,Other Votes
2017,ORV,G,Jimmy Butler,27,CHI,18,200,0.09,76,37,23.9,6.2,5.5,1.9,0.4,0.455,0.367,0.865,13.8,0.236,3.8,1.7,106,Other Votes
2017,ORV,F,LeBron James,32,CLE,12,200,0.06,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,3,1.2,108,Other Votes
2017,ORV,F,Robert Covington,26,PHI,11,200,0.055,67,31.6,12.9,6.5,1.5,1.9,1,0.399,0.333,0.822,3.1,0.071,3.2,1.4,105,Other Votes
2017,ORV,G,Russell Westbrook,28,OKC,10,200,0.05,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,4.6,2.4,104,Other Votes
2017,ORV,F,Paul George,26,IND,7,200,0.035,75,35.9,23.7,6.6,3.3,1.6,0.4,0.461,0.393,0.898,7.1,0.126,3.1,0.1,108,Other Votes
2017,ORV,F,Kevin Durant,28,GSW,6,200,0.03,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,4,2.2,101,Other Votes
2017,ORV,C,Dwight Howard,31,ATL,6,200,0.03,74,29.7,13.5,12.7,1.4,0.9,1.2,0.633,0,0.533,8.3,0.181,4.5,0.8,100,Other Votes
2017,ORV,G,Mike Conley,29,MEM,5,200,0.025,69,33.2,20.5,3.5,6.3,1.3,0.3,0.46,0.408,0.859,10,0.209,2.5,0.8,108,Other Votes
2017,ORV,F,Jae Crowder,26,BOS,5,200,0.025,72,32.4,13.9,5.8,2.2,1,0.3,0.463,0.398,0.811,6.7,0.137,2.5,-0.1,108,Other Votes
2017,ORV,G,Jrue Holiday,26,NOP,5,200,0.025,67,32.7,15.4,3.9,7.3,1.5,0.7,0.454,0.356,0.708,3.8,0.084,2.6,0.2,108,Other Votes
2017,ORV,G,Wesley Matthews,30,DAL,4,200,0.02,73,34.2,13.5,3.5,2.9,1.1,0.2,0.393,0.363,0.816,3.1,0.06,2.1,0,110,Other Votes
2017,ORV,G,Stephen Curry,28,GSW,3,200,0.015,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,3.9,0.3,105,Other Votes
2017,ORV,F,Andre Iguodala,33,GSW,3,200,0.015,76,26.3,7.6,4,3.4,1,0.5,0.528,0.362,0.706,6.9,0.167,2.9,1.7,105,Other Votes
2017,ORV,F,Michael Kidd-Gilchrist,23,CHO,3,200,0.015,81,29,9.2,7,1.4,1,1,0.477,0.111,0.784,5.8,0.119,3.1,0.9,106,Other Votes
2017,ORV,G,Ricky Rubio,26,MIN,3,200,0.015,75,32.9,11.1,4.1,9.1,1.7,0.1,0.402,0.306,0.891,6.1,0.119,1.7,-0.2,112,Other Votes
2017,ORV,F,P.J. Tucker,31,TOT,3,200,0.015,81,27.6,6.7,5.8,1.2,1.4,0.2,0.413,0.357,0.774,3.6,0.078,2.2,1.2,109,Other Votes
2017,ORV,F,Trevor Ariza,31,HOU,2,200,0.01,80,34.7,11.7,5.7,2.2,1.8,0.3,0.409,0.344,0.738,6,0.104,3.2,1.1,108,Other Votes
2017,ORV,F,Nicolas Batum,28,CHO,2,200,0.01,77,34,15.1,6.2,5.9,1.1,0.4,0.403,0.333,0.856,4.6,0.084,2.8,0.2,108,Other Votes
2017,ORV,C,Marc Gasol,32,MEM,2,200,0.01,74,34.2,19.5,6.3,4.6,0.9,1.3,0.459,0.388,0.837,7.7,0.145,3.5,1.4,106,Other Votes
2017,ORV,G,Eric Gordon,28,HOU,2,200,0.01,75,31,16.2,2.7,2.5,0.6,0.5,0.406,0.372,0.84,3.8,0.079,1.4,-1.4,113,Other Votes
2017,ORV,C,Karl-Anthony Towns,21,MIN,2,200,0.01,82,37,25.1,12.3,2.7,0.7,1.3,0.542,0.367,0.832,12.7,0.201,2.8,-0.7,110,Other Votes
