age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
36.1,-0.34,1.49,-0.61,302,0.45,72,2,1.06,50,-1.14,-0.34,Byron Scott,1997,Los Angeles Lakers,1610612747
31.1,-0.16,-0.81,-0.13,158,-0.91,171,3,-0.78,198,-0.06,-0.65,Grant Long,1997,Detroit Pistons,1610612765
38,-0.49,-2.36,-0.47,255,-2.9,405,7,-2.43,389,-0.33,-3.06,Dan Schayes,1997,Orlando Magic,1610612753
35.7,-0.54,-1.44,-0.52,273,-2.02,301,9,-1.49,285,-0.42,-1.95,Sedale Threatt,1997,Houston Rockets,1610612745
27.3,-0.52,-1.22,-0.52,273,-1.72,262,12,-1.19,242,-0.57,-0.95,Chris King,1997,Miami Heat,1610612748
26.6,-0.47,2.13,-0.45,247,1.39,37,15,1.84,25,-0.36,-0.03,Eric Piatkowski,1997,Los Angeles Clippers,1610612746
34.9,-0.47,1.56,0.07,120,1.63,29,17,1.56,34,0.65,1.57,Clyde Drexler,1997,Houston Rockets,1610612745
29.4,1.31,0.9,1,31,1.69,27,21,0.69,66,0.47,0.08,Greg Anthony,1997,Memphis Grizzlies,1610612763
30.7,0.92,-0.53,0.75,46,0.15,90,22,-0.61,182,0.41,-0.88,Rik Smits,1997,Indiana Pacers,1610612754
36.1,-0.91,-1.72,-0.2,170,-2.12,319,23,-1.92,340,0.73,-2.35,Dennis Rodman,1997,Chicago Bulls,1610612741
28,-0.83,0.49,-1.18,403,-1.35,220,24,-0.17,132,-1.34,-0.67,Keith Jennings,1997,Denver Nuggets,1610612743
28.4,1.84,-1.9,1.39,18,-0.55,140,26,-1.94,343,0.63,-2.05,Luc Longley,1997,Chicago Bulls,1610612741
29.9,0.06,-1.9,0.05,124,-1.82,275,28,-1.86,334,0.03,-1.76,Doug West,1997,Minnesota Timberwolves,1610612750
