D_LEBRON,D_LEBRON_Rank,LEBRON,LEBRON_Rank,Minutes,O_LEBRON,O_LEBRON_Rank,Season,nba_id,player_name,year
-1.27,376.5,-0.06,137,2919,1.21,52,2009-10,201166,aaron brooks,2010
0.47,109,-0.19,152.5,311,-0.66,232,2009-10,201189,aaron gray,2010
-0.72,311.5,-0.07,138,234,0.64,85,2009-10,201151,acie law,2010
-1.32,382,-2.76,406,241,-1.44,334.5,2009-10,200747,adam morrison,2010
-0.03,186.5,0.15,115,865,0.18,123.5,2009-10,201985,aj price,2010
-2.13,420,-1.58,333.5,2195,0.55,92,2009-10,1733,al harrington,2010
1.56,38,2.81,21,2845,1.25,48,2009-10,201143,al horford,2010
0.39,123,-0.45,184.5,2463,-0.84,263.5,2009-10,2744,al jefferson,2010
-1.07,355,-2.66,403,2079,-1.59,349,2009-10,201154,al thornton,2010
-0.83,326,-1.14,271,95,-0.31,178.5,2009-10,201169,alando tucker,2010
-0.38,251,-0.6,195,30,-0.21,163.5,2009-10,201582,alexis ajinca,2010
-0.27,234,-1.05,251,182,-0.78,246.5,2009-10,202087,alonzo gee,2010
-0.64,298,1.8,41.5,2838,2.44,18,2009-10,2405,amar'e stoudemire,2010
1.35,46,1.58,46,1453,0.23,116.5,2009-10,101161,amir johnson,2010
1.81,28,2.63,26,2166,0.82,72,2009-10,2760,anderson varejao,2010
0.02,177.5,-1,244.5,2256,-1.02,288.5,2009-10,101154,andray blatche,2010
0.02,177.5,1.08,62,3193,1.06,59.5,2009-10,2738,andre iguodala,2010
0.22,149,3.38,12.5,2500,3.16,9.5,2009-10,1889,andre miller,2010
-1.82,412,-1.03,249,2799,0.79,75,2009-10,200745,andrea bargnani,2010
2.58,9,3.05,17,1681,0.48,97.5,2009-10,1905,andrei kirilenko,2010
-1.64,405,-1.5,322.5,1477,0.14,128,2009-10,2804,andres nocioni,2010
4.02,2,3.39,11,2229,-0.64,228.5,2009-10,101106,andrew bogut,2010
1.35,46,1.38,54,1977,0.03,139.5,2009-10,101115,andrew bynum,2010
2.52,10,-0.15,142.5,763,-2.67,411.5,2009-10,2740,andris biedrins,2010
0.08,168.5,1.8,41.5,2406,1.72,31,2009-10,1712,antawn jamison,2010
-0.06,195,-1.19,278,859,-1.14,300,2009-10,1853,anthony carter,2010
-0.61,293,-1.09,261,406,-0.48,203,2009-10,1533,anthony johnson,2010
-1.04,351,-0.61,196.5,2018,0.43,103,2009-10,201627,anthony morrow,2010
0.9,65,0.95,68.5,2289,0.05,135.5,2009-10,1515,anthony parker,2010
0.62,87.5,-0.01,131.5,749,-0.63,226,2009-10,201576,anthony randolph,2010
0.29,137,0.82,80,1428,0.53,94.5,2009-10,201229,anthony tolliver,2010
-0.55,283.5,-1.53,327,1392,-0.97,280.5,2009-10,101120,antoine wright,2010
-0.77,321,-1.08,256.5,15,-0.31,178.5,2009-10,202079,antonio anderson,2010
1.51,42,-0.01,131.5,1617,-1.52,342.5,2009-10,686,antonio mcdyess,2010
-1.13,363.5,-1.5,322.5,2221,-0.38,190.5,2009-10,201167,arron afflalo,2010
-0.71,308.5,-1.58,333.5,915,-0.87,269,2009-10,201948,austin daye,2010
0.36,126.5,2.28,32,2523,1.92,24,2009-10,1884,baron davis,2010
-2.41,425,-1.16,273.5,1730,1.25,48,2009-10,2732,ben gordon,2010
3.44,4,3.04,18,1975,-0.4,193.5,2009-10,1112,ben wallace,2010
-0.67,303.5,-0.28,160.5,2477,0.39,107.5,2009-10,2757,beno udrih,2010
-1.4,389.5,-1.7,349.5,519,-0.3,175.5,2009-10,201628,bobby brown,2010
0.09,166.5,-1.03,249,395,-1.11,297,2009-10,2250,bobby simmons,2010
0.25,145,-1.11,265.5,2906,-1.35,324.5,2009-10,2564,boris diaw,2010
0.88,67,0.59,91,1950,-0.29,173.5,2009-10,1802,brad miller,2010
-0.58,289,-0.9,235,648,-0.32,181.5,2009-10,101138,brandon bass,2010
0.05,172,0.71,85,2671,0.66,84,2009-10,201943,brandon jennings,2010
-1.43,393,1.94,38,2419,3.37,7.5,2009-10,200750,brandon roy,2010
0.87,68,-1.16,273.5,2491,-2.04,383,2009-10,201575,brandon rush,2010
2.13,16.5,1.44,51,2355,-0.69,238.5,2009-10,2217,brendan haywood,2010
0.54,102,-0.74,210.5,267,-1.28,315.5,2009-10,2073,brian cardinal,2010
-0.31,238.5,-1.07,255,44,-0.76,244.5,2009-10,2567,brian cook,2010
-1.07,355,-3.8,424,472,-2.74,416,2009-10,2243,brian scalabrine,2010
0.01,181,-1.37,306,123,-1.38,328.5,2009-10,1730,brian skinner,2010
-0.27,234,-0.74,210.5,3027,-0.48,203,2009-10,201572,brook lopez,2010
-1.06,353,-1.96,367.5,54,-0.9,275,2009-10,201957,byron mullens,2010
0.18,155,1.45,48.5,1788,1.26,45.5,2009-10,201228,c.j. watson,2010
0.18,155,0.41,106,2469,0.24,115,2009-10,201171,carl landry,2010
-0.21,221,-1.28,292.5,1585,-1.07,294.5,2009-10,2306,carlos arroyo,2010
-0.05,192.5,1.02,64,2673,1.07,58,2009-10,2430,carlos boozer,2010
1.17,52.5,0.9,72,2279,-0.27,170,2009-10,2568,carlos delfino,2010
-1.18,368.5,1.94,38,2634,3.12,12,2009-10,2546,carmelo anthony,2010
-0.11,207,-0.65,201,390,-0.54,215,2009-10,201858,cartier martin,2010
-0.02,185,-0.42,177,75,-0.4,193.5,2009-10,202132,cedric jackson,2010
-0.19,218.5,1.04,63,2190,1.23,51,2009-10,101112,channing frye,2010
0.32,131.5,-1.09,261,1611,-1.41,331,2009-10,2294,charlie bell,2010
-1.58,399.5,-1.83,359.5,1848,-0.25,166,2009-10,101111,charlie villanueva,2010
-1.38,385.5,-0.47,188.5,1488,0.9,68.5,2009-10,201978,chase budinger,2010
-0.9,336.5,2.46,29,2490,3.37,7.5,2009-10,1497,chauncey billups,2010
3.18,5,3.72,7,1695,0.54,93,2009-10,2365,chris andersen,2010
0.15,157.5,2.77,23,2526,2.62,15,2009-10,2547,chris bosh,2010
