game_id,game_date
0021600001,2016-10-25
0021600002,2016-10-25
0021600003,2016-10-25
0021600004,2016-10-26
0021600005,2016-10-26
0021600006,2016-10-26
0021600007,2016-10-26
0021600008,2016-10-26
0021600009,2016-10-26
0021600010,2016-10-26
0021600011,2016-10-26
0021600012,2016-10-26
0021600013,2016-10-26
0021600014,2016-10-27
0021600015,2016-10-27
0021600016,2016-10-27
0021600017,2016-10-27
0021600018,2016-10-28
0021600019,2016-10-28
0021600020,2016-10-28
0021600021,2016-10-28
0021600022,2016-10-28
0021600023,2016-10-28
0021600024,2016-10-28
0021600025,2016-10-28
0021600026,2016-10-29
0021600027,2016-10-29
0021600028,2016-10-29
0021600029,2016-10-29
0021600030,2016-10-29
0021600031,2016-10-29
0021600032,2016-10-29
0021600033,2016-10-29
0021600034,2016-10-29
0021600035,2016-10-30
0021600036,2016-10-30
0021600037,2016-10-30
0021600038,2016-10-30
0021600039,2016-10-30
0021600040,2016-10-30
0021600041,2016-10-30
0021600042,2016-10-31
0021600043,2016-10-31
0021600044,2016-10-31
0021600045,2016-10-31
0021600046,2016-11-01
0021600047,2016-11-01
0021600048,2016-11-01
0021600049,2016-11-01
0021600050,2016-11-01
0021600051,2016-11-01
0021600052,2016-11-01
0021600053,2016-11-01
0021600054,2016-11-01
0021600055,2016-11-02
0021600056,2016-11-02
0021600057,2016-11-02
0021600058,2016-11-02
0021600059,2016-11-02
0021600060,2016-11-02
0021600061,2016-11-02
0021600062,2016-11-02
0021600063,2016-11-02
0021600064,2016-11-02
0021600065,2016-11-03
0021600066,2016-11-03
0021600067,2016-11-03
0021600068,2016-11-03
0021600069,2016-11-03
0021600070,2016-11-04
0021600071,2016-11-04
0021600072,2016-11-04
0021600073,2016-11-04
0021600074,2016-11-04
0021600075,2016-11-04
0021600076,2016-11-04
0021600077,2016-11-04
0021600078,2016-11-04
0021600079,2016-11-05
0021600080,2016-11-05
0021600081,2016-11-05
0021600082,2016-11-05
0021600083,2016-11-05
